perfil,data,formato,curtidas,comentarios,tema,resumo,uso_no_site,fonte
drmateuscamargos,2026-09-18,reel,8,0,"tese do método","Emagrecimento não é apenas matemática; o corpo adapta-se à história, proteção e cargas emocionais.","manifesto e seção problema","https://www.instagram.com/drmateuscamargos/reel/DdcSgLHtKd0/"
drmateuscamargos,2026-09-16,reel,8,0,"inconsciente","O fim trágico.","referência temática; conteúdo insuficiente sem transcrição","https://www.instagram.com/drmateuscamargos/reel/DdXOUA1NIhU/"
drmateuscamargos,2026-09-15,reel,9,0,"inconsciente","Exemplo sobre o inconsciente.","referência temática; conteúdo insuficiente sem transcrição","https://www.instagram.com/drmateuscamargos/reel/DdUoG8fhqLG/"
drmateuscamargos,2026-09-14,reel,6,0,"inconsciente","Como funciona o inconsciente.","pilar mente e comportamento","https://www.instagram.com/drmateuscamargos/reel/DdSGVgetrUR/"
drmateuscamargos,2026-09-11,reel,4,0,"inconsciente","Como é o seu inconsciente.","pilar mente e comportamento","https://www.instagram.com/drmateuscamargos/reel/DdKgPhYNDHF/"
drmateuscamargos,2026-09-10,reel,12,0,"autonomia","Eu não vou te entregar respostas.","posicionamento do acompanhamento","https://www.instagram.com/drmateuscamargos/reel/DdHwIcJhw0S/"
drmateuscamargos,2026-09-10,reel,11,2,"leitura corporal","O seu corpo nunca mente.","headline e conceito visual","https://www.instagram.com/drmateuscamargos/reel/DdHI2sTNaQa/"
drmateuscamargos,2026-09-08,reel,5,0,"leitura corporal","O seu corpo conta a sua história.","headline e fio narrativo","https://www.instagram.com/drmateuscamargos/reel/DdCmiZwBgi7/"
drmateuscamargos,2026-09-07,reel,4,2,"neurobiologia","A mielinização molda o processo de crescimento.","pilar científico a validar","https://www.instagram.com/drmateuscamargos/reel/DdAXLkjNGh6/"
drmateuscamargos,2026-09-04,reel,7,2,"leitura corporal","Isolamento e como o traço define.","pilar comportamental; requer explicação do método","https://www.instagram.com/drmateuscamargos/reel/Dc4TNvWt5o4/"
drmateuscamargos,2026-07-22,reel,17,4,"caso real","De 102 kg para 79 kg em oito semanas; melhora relatada de energia, sono e libido; alegação de reversão de diabetes tipo 2.","prova social mediante consentimento e validação clínica","https://www.instagram.com/drmateuscamargos/reel/DbHHTkMh2jn/"
drmateuscamargos,2025-02-27,reel,194,53,"história do fundador","O Dr. Mateus relata a própria transformação por estratégia, alimentação, treino e controle hormonal.","seção fundador e origem do método","https://www.instagram.com/drmateuscamargos/reel/DGl_hxxNThc/"
draannacamargos,2026-07-30,reel,28,3,"caso real","Dra. Anna relata perda de 14 kg em 28 dias e conexão entre excesso de peso e sua função corporal.","prova e narrativa do método mediante validação","https://www.instagram.com/draannacamargos/reel/Dba2jgGvZYv/"
methacorpusclinic,2026-08-19,post,1,0,"hábitos","O conforto pode virar prisão; transformação exige decisão, estratégia e acompanhamento.","seção tensão; adaptar para não moralizar o peso","https://www.instagram.com/methacorpusclinic/p/DcPIS41yxPR/"
methacorpusclinic,2026-08-14,reel,4,0,"PEIM","Estágios de varizes e chamada para identificar a fase.","serviço de estética vascular","https://www.instagram.com/methacorpusclinic/reel/DcB5z27Jose/"
methacorpusclinic,2026-08-10,reel,5,0,"PEIM","Promoção de tratamento de vasinhos em Araxá.","confirma existência do serviço; não usar preço sazonal","https://www.instagram.com/methacorpusclinic/reel/Db34PwRy5-o/"
methacorpusclinic,2026-08-05,post,2,0,"PEIM","Benefícios divulgados do tratamento de microvasos.","base preliminar do serviço; revisar alegações","https://www.instagram.com/methacorpusclinic/p/Dbq3L4dSGGF/"
methacorpusclinic,2026-08-03,reel,4,0,"estética","Preparação para o verão e tratamentos estéticos.","confirma oferta; não usar campanha sazonal","https://www.instagram.com/methacorpusclinic/reel/Dbliixvp4jd/"
methacorpusclinic,2026-08-03,reel,0,0,"institucional","Mensagem da equipe; agenda do Dr. Mateus permanece aberta.","tom humano e presença de equipe","https://www.instagram.com/methacorpusclinic/reel/DblOM3aypKt/"
draannacamargos,2026-08-02,reel,169,24,"conteúdo pessoal sensível","Relato pessoal de perda gestacional.","não utilizar no site sem solicitação e consentimento explícitos","https://www.instagram.com/draannacamargos/reel/DbjOmQRvizp/"
methacorpusclinic,2026-07-30,reel,3,0,"Mounjaro","Explicação do mecanismo do medicamento e importância de acompanhamento médico.","FAQ educativo com revisão médica","https://www.instagram.com/methacorpusclinic/reel/Dba7P4-ShOJ/"
methacorpusclinic,2026-07-28,reel,5,0,"método","Jornada de 28 dias com dicas médicas, orientações, casos reais e integração mente-corpo.","estrutura do método e programa de acompanhamento","https://www.instagram.com/methacorpusclinic/reel/DbWTxFMSSGU/"
methacorpusclinic,2026-07-28,post,11,1,"Mounjaro","Relação divulgada entre efeitos colaterais, alimentação, hidratação, jejum, exercício e suplementação.","FAQ; exige revisão médica antes de publicar","https://www.instagram.com/methacorpusclinic/p/DbV6lWPy-66/"

